metric,mean,median,std,min,max,p05,p95
capital_liberated,1.8037226586576887,1.632195539171681,0.9013199841384145,0.29537371722302197,4.580489277420801,0.5964066063613196,3.518810135771622
additional_usable_collateral,0.8398869904338,0.7443608559891146,0.4632382403992578,0.09918455638525359,2.2796046014740483,0.2389907308750253,1.7217914575439752
final_tokenized_cost_of_debt,0.04242885608772652,0.04242206756746053,0.0027421880765043246,0.03594926318178243,0.04883540412435572,0.037920342948116845,0.046951037557337816
book_wacc_change,0.0002554440493040761,0.0002521651098236141,0.0013245108498738437,-0.0028742796849005603,0.0033498862057190076,-0.0019222237122100143,0.0024397137837250983
market_wacc_change,9.700292259865042e-06,9.575777042733491e-06,5.029728576624883e-05,-0.000109148571110107,0.00012720936471717625,-7.299497423436454e-05,9.264626362220568e-05
adjusted_roe,1.5201131265400079,1.519910480781561,0.0007965223662008772,1.519129853012827,1.5236014758547505,1.5192052729517624,1.5217677539768137
roe_change,0.0009832932224974025,0.0007806474640504879,0.0007965223662008772,1.969531648882139e-08,0.004471642537239973,7.543963425187261e-05,0.00263792065930316
probability capital_liberated > 0,1.0,,,,,,
probability additional_usable_collateral > 0,1.0,,,,,,
probability book_wacc_change < 0,0.433,,,,,,
probability market_wacc_change < 0,0.433,,,,,,
probability roe_change > 0,1.0,,,,,,
probability final_tokenized_cost_of_debt > legacy_cost_of_debt,0.567,,,,,,
